,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
247,604,اساس,Persian,NOUN,128,yes,-0.4678,-1.2947,-1.222,0.5072,0.6395,0.3661,5,4,3,2,Basis
406,1247,قرار,Persian,NOUN,129,yes,4.2515,-0.8708,2.4388,0.6585,0.6514,0.5504,2,1,1,1,appointment
116,2285,نه,Persian,ADV,130,yes,2.0088,-0.5211,0.9756,0.5866,0.6612,0.4768,5,4,3,2,Not
345,953,نتیجه,Persian,NOUN,131,yes,0.4964,-1.7479,1.1842,0.5381,0.6267,0.4873,5,4,3,2,Result
108,214,پیدا,Persian,ADJ,132,yes,3.7455,-0.5328,-1.378,0.6423,0.6609,0.3582,2,1,1,1,find
268,669,میلیون,Persian,NUM,133,yes,-8.0184,6.9737,-2.3115,0.2651,0.8722,0.3112,3,2,2,2,Million
129,2349,افتاد#افت,Persian,VERB,134,yes,-3.5227,-1.9923,0.5859,0.4092,0.6198,0.4571,5,4,3,2,fell
351,972,طور,Persian,NOUN,135,yes,2.8776,-0.563,0.6069,0.6144,0.6601,0.4582,2,1,1,1,as
433,1422,توی,Persian,ADP,136,yes,-7.6452,4.9689,1.6554,0.2771,0.8158,0.511,3,2,2,2,you
397,1207,#توان,Persian,AUX,137,yes,12.3202,3.3469,8.1919,0.9172,0.7701,0.8402,1,1,1,1,#power
258,628,حرکت,Persian,NOUN,138,yes,0.4425,-1.1617,-2.1072,0.5364,0.6432,0.3215,2,1,1,1,Move
430,1402,دل,Persian,NOUN,139,yes,3.4047,-1.5011,2.8726,0.6313,0.6337,0.5723,2,1,1,1,heart
220,536,درباره,Persian,ADP,140,yes,-5.7365,4.2756,0.7468,0.3383,0.7962,0.4652,3,2,2,2,about
13,4118,چیز,Persian,NOUN,141,yes,0.7271,-1.6444,1.53,0.5455,0.6296,0.5047,5,4,3,2,Thing
243,586,برگزار,Persian,ADJ,142,yes,12.4317,0.7605,-3.0815,0.9207,0.6973,0.2724,2,1,1,1,hold
187,434,حتی,Persian,ADV,143,yes,2.2045,-0.7284,-0.2582,0.5929,0.6554,0.4146,5,4,3,2,Even
9,18,اجرا,Persian,NOUN,144,yes,-1.758,-1.5037,-1.8441,0.4658,0.6336,0.3347,5,4,3,2,Performance
68,135,آمریکا,Persian,PROPN,145,yes,2.1301,-0.5639,-1.7155,0.5905,0.66,0.3412,2,1,1,1,America
254,622,تلاش,Persian,NOUN,147,yes,0.3874,-1.6634,1.4406,0.5346,0.6291,0.5002,5,4,3,2,Effort
114,229,نویسنده,Persian,NOUN,148,yes,1.7754,-1.5534,1.378,0.5791,0.6322,0.497,2,1,1,1,the writer
436,3479,نوشت#نویس,Persian,VERB,149,yes,-1.8162,-2.757,0.9915,0.464,0.5983,0.4776,5,4,3,2,wrote
137,321,اسلام,Persian,NOUN,150,yes,2.4287,-0.5858,-3.5618,0.6,0.6594,0.2482,2,1,1,1,Islam
47,84,اشاره,Persian,NOUN,151,yes,-0.3131,-1.4295,-0.8004,0.5121,0.6357,0.3873,5,4,3,2,Hint
118,241,خداوند,Persian,NOUN,152,yes,2.3773,0.244,-0.8841,0.5984,0.6828,0.3831,2,1,1,1,God
325,879,جامعه,Persian,NOUN,153,yes,2.3777,-0.7734,-1.5049,0.5984,0.6541,0.3518,2,1,1,1,Society
27,46,خاطر,Persian,NOUN,154,yes,0.7344,-1.239,0.9499,0.5457,0.641,0.4755,5,4,3,2,Mind
6,2057,دوست,Persian,NOUN,156,yes,0.3469,-1.8823,-0.2159,0.5333,0.6229,0.4167,5,4,3,2,Friend
71,141,نام,Persian,NOUN,157,yes,-1.1084,-0.4045,1.0268,0.4866,0.6645,0.4793,5,4,3,2,name
210,506,تهران,Persian,PROPN,158,yes,4.8011,0.2079,-1.4189,0.6761,0.6818,0.3562,2,1,1,1,Tehran
249,615,خدمت,Persian,NOUN,159,yes,2.2008,0.0622,0.0157,0.5927,0.6777,0.4284,2,1,1,1,service
23,39,نظام,Persian,NOUN,160,yes,0.2793,-0.8347,-3.2461,0.5311,0.6524,0.2641,2,1,1,1,the system
135,2362,خیلی,Persian,ADV,161,yes,5.3525,-0.7156,-3.0268,0.6938,0.6558,0.2752,2,1,1,1,Very
386,1150,پا,Persian,NOUN,162,yes,-0.0925,0.5243,1.841,0.5192,0.6907,0.5203,2,1,1,1,Leg
127,287,دلیل,Persian,NOUN,163,yes,1.0742,-0.9356,0.4292,0.5566,0.6496,0.4492,5,4,3,2,the reason
113,225,خدا,Persian,NOUN,164,yes,2.3583,0.0714,0.546,0.5978,0.6779,0.4551,2,1,1,1,God
448,1521,چشم,Persian,NOUN,165,yes,0.0079,-1.8348,-0.7947,0.5224,0.6243,0.3876,5,4,3,2,Eye
277,2747,علم,Persian,NOUN,166,yes,0.525,-0.6891,-1.4115,0.539,0.6565,0.3565,5,4,3,2,Science
281,712,هنوز,Persian,ADV,167,yes,2.4337,0.0988,2.8552,0.6002,0.6787,0.5714,2,1,1,1,yet still
111,222,بود#باش,Persian,VERB,169,yes,-6.1432,-4.4003,1.3765,0.3252,0.5521,0.4969,5,4,3,2,be
357,1002,بود#باش,Persian,VERB,169,yes,-1.5031,-1.6611,0.5611,0.474,0.6291,0.4559,5,4,3,2,be
193,2508,چنین,Persian,DET,170,yes,-6.4936,4.9062,2.0383,0.314,0.814,0.5303,3,2,2,2,Such
109,216,انسان,Persian,NOUN,171,yes,1.1704,-1.4017,0.0168,0.5597,0.6365,0.4285,2,1,1,1,Man
40,2114,دیگر,Persian,ADV,172,yes,3.2714,-0.0709,0.5779,0.6271,0.6739,0.4567,2,1,1,1,other
237,570,دیگر,Persian,ADV,172,yes,-4.2642,0.1686,1.1804,0.3855,0.6806,0.4871,3,2,2,2,other
105,209,اقدام,Persian,NOUN,174,yes,0.274,-1.225,-1.3099,0.531,0.6414,0.3617,5,4,3,2,action
297,765,بزرگ,Persian,ADJ,175,yes,-0.5567,0.0853,-1.5621,0.5043,0.6783,0.3489,5,4,3,2,big
380,1134,ساعت,Persian,NOUN,176,yes,0.0605,-1.6669,0.4846,0.5241,0.629,0.452,5,4,3,2,the watch
12,2068,فقط,Persian,ADV,177,yes,4.2237,-0.1935,2.8735,0.6576,0.6705,0.5723,2,1,1,1,Only
449,1532,دریافت,Persian,NOUN,178,yes,2.6663,-0.1709,-0.7553,0.6077,0.6711,0.3896,2,1,1,1,receive
144,341,ادامه,Persian,NOUN,179,yes,1.7221,-1.7233,-3.6573,0.5774,0.6274,0.2434,2,1,1,1,Continuation
332,908,ساخت#ساز,Persian,VERB,180,yes,-3.9591,-3.0048,-0.9687,0.3953,0.5913,0.3788,5,4,3,2,Building
333,914,گاه,Persian,NOUN,181,yes,2.6321,-0.2618,0.907,0.6066,0.6685,0.4733,2,1,1,1,sometimes
65,2175,زبان,Persian,NOUN,182,yes,2.0707,-0.4789,0.6004,0.5886,0.6624,0.4579,2,1,1,1,Tongue
85,167,توسط,Persian,ADP,183,yes,-4.4153,9.0239,5.9797,0.3806,0.9299,0.7288,3,2,2,2,By
112,224,خواند#خوان,Persian,VERB,184,yes,-2.2017,-1.3543,0.1044,0.4516,0.6378,0.4329,5,4,3,2,read
76,153,اعلام,Persian,NOUN,185,yes,5.0062,-0.3426,-0.9962,0.6827,0.6663,0.3774,2,1,1,1,to announce
128,300,به,Persian,ADJ,187,yes,1.1611,-0.7794,-0.3294,0.5594,0.654,0.411,5,4,3,2,To
25,41,به,Persian,ADJ,187,yes,-10.6704,-8.6491,3.7122,0.1801,0.4325,0.6146,5,4,3,2,To
463,1651,قانون,Persian,NOUN,188,yes,-0.9415,-0.5357,-1.7698,0.492,0.6608,0.3385,5,4,3,2,Law
217,524,مهم,Persian,ADJ,189,yes,-2.4834,-0.4502,-3.0516,0.4426,0.6632,0.2739,5,4,3,2,Important
41,2117,حرف,Persian,NOUN,191,yes,1.759,-0.4957,0.2071,0.5786,0.662,0.4381,2,1,1,1,letter
421,1349,ماه,Persian,NOUN,192,yes,-2.1921,-1.4854,-3.1512,0.4519,0.6341,0.2689,5,4,3,2,Month
155,365,مدت,Persian,NOUN,194,yes,-0.2554,-1.3366,-0.6173,0.514,0.6383,0.3965,5,4,3,2,Period
176,407,آنان,Persian,PRON,197,yes,0.7407,0.0386,-3.0623,0.5459,0.677,0.2734,2,1,1,1,they
464,1662,خط,Persian,NOUN,198,yes,1.0867,-1.6066,-2.6257,0.557,0.6307,0.2954,2,1,1,1,line
441,1459,طرف,Persian,NOUN,199,yes,0.1567,-0.5567,1.512,0.5272,0.6602,0.5038,5,4,3,2,the side
481,1800,دختر,Persian,NOUN,200,yes,1.6052,-0.278,-1.1816,0.5736,0.6681,0.3681,2,1,1,1,Girl
241,578,مراسم,Persian,NOUN,202,yes,2.5898,-0.9101,0.2636,0.6052,0.6503,0.4409,2,1,1,1,Ceremony
419,1345,زمینه,Persian,NOUN,203,yes,1.5731,-1.1115,-0.3175,0.5726,0.6446,0.4116,2,1,1,1,Background
295,763,نیرو,Persian,NOUN,204,yes,0.6773,-0.9852,-1.8188,0.5439,0.6482,0.336,2,1,1,1,force
24,40,اسلامی,Persian,PROPN,205,yes,-3.7446,3.8728,-0.5012,0.4021,0.7849,0.4024,5,4,3,2,islamic
30,49,اسلامی,Persian,PROPN,205,yes,-9.7942,8.2233,-0.1827,0.2082,0.9074,0.4184,3,2,2,2,islamic
115,230,خبرنگار,Persian,NOUN,206,yes,0.7535,-3.3405,-4.5814,0.5463,0.5819,0.1969,2,1,1,1,Reporter
492,1923,نشست#نشین,Persian,VERB,207,yes,-1.7592,-1.4676,0.7534,0.4658,0.6346,0.4656,5,4,3,2,sit down
21,34,افزود#افزا,Persian,VERB,208,yes,1.1334,-1.4786,-0.8784,0.5585,0.6343,0.3834,5,4,3,2,added
289,737,بدون,Persian,ADP,209,yes,-5.0907,6.4437,3.0905,0.359,0.8573,0.5833,3,2,2,2,Without
120,252,عمل,Persian,NOUN,210,yes,2.2465,-0.616,-1.5865,0.5942,0.6586,0.3477,2,1,1,1,Action
279,704,تیم,Persian,PROPN,211,yes,3.829,-0.5995,-1.7994,0.6449,0.659,0.337,2,1,1,1,Team
280,709,تیم,Persian,PROPN,211,yes,2.0182,-0.7125,-0.3351,0.5869,0.6559,0.4107,2,1,1,1,Team
378,1131,نیاز,Persian,NOUN,212,yes,-0.4095,-0.8498,-2.1095,0.5091,0.652,0.3214,5,4,3,2,Need
28,47,دشمن,Persian,NOUN,213,yes,0.0711,-0.1794,-2.3114,0.5245,0.6709,0.3112,5,4,3,2,Enemy
156,2413,انداخت#انداز,Persian,VERB,214,yes,-2.1209,-1.6704,1.2481,0.4542,0.6289,0.4905,5,4,3,2,He threw it
454,1571,شکل,Persian,NOUN,215,yes,2.9868,-1.7417,0.2208,0.6179,0.6269,0.4387,2,1,1,1,Shape
240,2622,خانم,Persian,NOUN,216,yes,2.3984,-0.9547,0.1324,0.5991,0.649,0.4343,2,1,1,1,Lady
199,487,مرد,Persian,NOUN,217,yes,0.5596,-0.8575,0.1779,0.5401,0.6518,0.4366,5,4,3,2,Man
89,177,برنامه,Persian,NOUN,218,yes,2.0795,-1.0494,0.9196,0.5889,0.6464,0.4739,2,1,1,1,Program
204,2540,برخی,Persian,DET,219,yes,-7.4726,6.3715,2.2763,0.2826,0.8552,0.5423,3,2,2,2,some
418,1341,سمت,Persian,NOUN,220,yes,4.0232,-0.323,0.7146,0.6512,0.6668,0.4636,2,1,1,1,Side
321,862,رژیم,Persian,PROPN,221,yes,-5.2519,2.9409,-1.5423,0.3538,0.7587,0.3499,3,2,2,2,Regime
208,2551,حکم,Persian,NOUN,222,yes,1.2614,-1.0307,-2.502,0.5626,0.6469,0.3016,2,1,1,1,Sentence
422,1355,نشان,Persian,NOUN,223,yes,5.6366,5.1956,8.8704,0.7029,0.8221,0.8744,1,1,1,1,sign
178,410,شب,Persian,NOUN,224,yes,1.9633,-1.9061,-0.9051,0.5851,0.6223,0.382,2,1,1,1,the night
148,352,سیاسی,Persian,ADJ,225,yes,-5.3869,2.9622,-3.9701,0.3495,0.7593,0.2277,5,4,3,2,political
352,977,بیان,Persian,NOUN,226,yes,2.7312,-0.5902,-1.3354,0.6097,0.6593,0.3604,2,1,1,1,Expression
157,369,خودم,Persian,PRON,227,yes,1.9763,0.7205,0.5898,0.5855,0.6962,0.4573,2,1,1,1,by my own
